hh,load
640,44590
641,45445
642,45264
643,45916
644,45933
645,45441
646,44863
647,44743
648,44579
649,44740
650,44716
651,44793
652,45010
653,45291
654,45424
655,45609
656,46866
657,48704
658,50596
659,51038
660,50594
661,50353
662,49846
663,48728
664,47357
665,45813
666,43886
667,41999
668,39576
669,37083
670,34817
671,32910
672,31773
673,31617
674,31621
675,31338
676,30949
677,30506
678,30321
679,30028
680,29416
681,28988
682,28976
683,29348
684,30105
685,32385
686,35732
687,40098
688,42619
689,43440
690,43346
691,43901
692,43919
693,43888
694,43673
695,43694
696,43548
697,43747
698,43547
699,43523
700,43253
701,43258
702,43283
703,43564
704,44710
705,46561
706,49091
707,50427
708,50498
709,50182
710,49563
711,48401
712,47138
713,45716
714,43946
715,41881
716,39366
717,36941
718,34786
719,32399
720,31284
721,30858
722,31013
723,31422
724,31281
725,31136
726,30907
727,30997
728,30565
729,30264
730,30269
731,30671
732,31581
733,33662
734,37082
735,41718
736,44353
737,45242
738,45297
739,46117
740,46247
741,46206
742,46361
743,46457
744,46074
745,45945
746,45493
747,45182
748,44772
749,44839
750,44491
751,44616
752,45494
753,47187
754,49624
755,50702
756,50691
757,50673
758,50022
759,48784
760,47368
761,45851
762,43953
763,42154
764,39972
765,38165
766,36533
767,34460
768,33125
769,32493
770,32642
771,32447
772,32259
773,32013
774,32071
775,31700
776,30989
777,30567
778,30381
779,30467
780,30628
781,31652
782,31852
783,33278
784,34729
785,36852
786,38753
787,40602
788,41476
789,42172
790,42448
791,42574
792,42239
793,42043
794,41807
795,41366
796,41056
797,41194
798,41043
799,41487
800,42073
801,43189
802,45933
803,48279
804,48545
805,48065
806,47298
807,45812
808,44102
809,42831
810,41514
811,39973
812,38539
813,37225
814,35977
815,34084
816,33167
817,32708
818,32823
819,32424
820,31638
821,31674
822,31609
823,31367
824,30775
825,30286
826,30085
827,29900
828,29956
829,30523
830,30558
831,30771
832,30987
833,32507
834,34701
835,36566
836,38182
837,39474
838,40248
839,40691
840,40997
841,41328
842,41433
843,41281
844,41114
845,41150
846,41233
847,41666
848,42481
849,43966
850,46699
851,48921
852,49031
853,48525
854,47566
855,46426
856,45190
857,44113
858,42512
859,41129
860,39213
861,37292
862,35049
863,32667
864,31733
865,31712
866,32034
867,32234
868,32057
869,31795
870,31976
871,31627
872,31251
873,31357
874,31532
875,31945
876,32877
877,35431
878,39216
879,43872
880,46603
881,47776
882,47904
883,48762
884,49059
885,48899
886,48744
887,48668
888,48499
889,48625
890,48469
891,48375
892,48242
893,48420
894,48283
895,48421
896,49507
897,50945
898,52603
899,53833
900,53603
901,53114
902,52489
903,51808
904,50995
905,49503
906,47594
907,45435
908,42973
909,40699
910,38217
911,36386
912,35784
913,35547
914,35800
915,35855
916,35367
917,34926
918,34902
919,34614
920,33902
921,33584
922,33650
923,34202
924,35341
925,37797
926,40689
927,45170
928,47576
929,48470
930,48527
931,49409
932,49674
933,49569
934,49396
935,49239
936,49079
937,49017
938,48720
939,48544
940,48360
941,48397
942,48272
943,48430
944,49540
945,50829
946,52404
947,53285
948,53126
949,52786
950,52979
951,52481
952,50778
953,49571
954,47538
955,45231
956,42794
957,40266
958,37683
959,35117
960,34529
961,34838
962,35019
963,34750
964,34287
965,34013
966,33888
967,33423
968,33099
969,32753
970,32778
971,32777
972,33666
973,36216
974,39866
975,44474
976,46856
977,47795
978,47921
979,48974
980,49339
981,49721
982,49805
983,49942
984,50069
985,50273
986,50133
987,50214
988,50018
989,50087
990,49909
991,49839
992,50631
993,51686
994,53210
995,53716
996,53566
997,53132
998,53025
999,52384
1000,51369
1001,49822
1002,47922
1003,45927
1004,43280
1005,41057
1006,38685
1007,36141
1008,35483
1009,35368
1010,35800
1011,35963
1012,35581
1013,35132
1014,35160
1015,34764
1016,34124
1017,33768
1018,33823
1019,33887
1020,35044
1021,37163
1022,40711
1023,44987
1024,47341
1025,48149
1026,48029
1027,48856
1028,49227
1029,49027
1030,48859
1031,48891
1032,48803
1033,48664
1034,48282
1035,48107
1036,48074
1037,48293
1038,48237
1039,48273
1040,49047
1041,50120
1042,51723
1043,53113
1044,53282
1045,53144
1046,52864
1047,52309
1048,51124
1049,49757
1050,47435
1051,45584
1052,43119
1053,40557
1054,38393
1055,35865
1056,34427
1057,34664
1058,35109
1059,35124
1060,34855
1061,34552
1062,34523
1063,34204
1064,33583
1065,33079
1066,33020
1067,33600
1068,34307
1069,36282
1070,39812
1071,44213
1072,46466
1073,47463
1074,47546
1075,48082
1076,48150
1077,47838
1078,47326
1079,47087
1080,46767
1081,46742
1082,46537
1083,46290
1084,46021
1085,46177
1086,46134
1087,46099
1088,46719
1089,48008
